date,hostname,CPU#0 Status,MEM#00A Status,MEM#01A Status,MEM#02A Status,MEM#03A Status,PSU#0 Status,PSU#1 Status,FANU#0 Status,FANU#1 Status,FANU#2 Status,FANU#3 Status,FANU#4 Status,FANU#5 Status,FANU#6 Status,uptime,load_average_last_1_min,load_average_last_5_min,load_average_last_15_min,Status_of_volume,Hard_disk_2_0,Hard_disk_2_1,Hard_disk_2_2,Hard_disk_2_3,rpool_state,rpool_CAP,IPv4_LISTEN,net0/v4_STATE,net1/v4_STATE,net2/v4_STATE,net3/v4_STATE,net4/v4_STATE,net5/v4_STATE,net6/v4_STATE,net7/v4_STATE,net8/v4_STATE,net9/v4_STATE,net10/v4_STATE,net11/v4_STATE,Temperature,CPU_0_Temperature,MEM_00A_Temperature,MEM_01A_Temperature,MEM_02A_Temperature,MEM_03A_Temperature,SAS_Temperature,MBU_1_35V_0_volt,MBU_1_35V_1_volt,MBU_1_5V_0_volt,MBU_1_5V_1_volt,PSUBP_3_3V,PSUBP_5_0V,FAN_0_0,FAN_0_1,FAN_1_0,FAN_1_1,FAN_2_0,FAN_2_1,FAN_3_0,FAN_3_1,FAN_4_0,FAN_4_1,FAN_5_0,FAN_5_1,FAN_6_0,FAN_6_1,Actual_AC_power_consumption,Air_Flow,PSB_00_0_Fault,Own_Status,CEDS_Number_of_Process,CEDS_almevt_k_dbt_count,CEDS_oradata_Usage,SCADA_To_mode
2024040211,PMC_192.168.25.50,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,98,0.00,0.00,0.00,Okay,Optimal,Optimal,Hot Spare,N/A,ONLINE,4,21/22/23/111/514/2001/2011/6482/8101,ok,ok,N/A,ok,N/A,N/A,ok,ok,N/A,N/A,ok,ok,24.00,45.50,30.00,29.75,31.25,30.75,36.94,1.346,1.346,1.545,1.497,3.295,5.033,10843,9375,10887,9262,11134,9473,10843,9358,10865,9391,10997,9358,10931,9246,219,82,Normal,N/A,N/A,N/A,N/A,N/A
2024040211,PMC_192.168.29.50,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,97,0.00,0.00,0.00,Okay,Optimal,Optimal,Hot Spare,N/A,ONLINE,4,21/22/23/111/514/2001/2011/6482/8101,ok,ok,N/A,ok,N/A,N/A,ok,ok,N/A,N/A,ok,ok,24.25,46.72,30.25,30.00,31.25,30.75,38.81,1.346,1.346,1.542,1.501,3.261,5.075,11020,9342,10997,9440,10953,9358,10865,9199,10821,9310,11042,9375,10865,9278,219,82,Normal,N/A,N/A,N/A,N/A,N/A
2024040211,PMC_192.168.33.50,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,41,0.00,0.00,0.00,Okay,Optimal,Optimal,Hot Spare,N/A,ONLINE,4,21/22/23/111/514/2001/2011/6482/8101,ok,ok,N/A,ok,N/A,ok,ok,ok,N/A,N/A,ok,ok,21.38,43.35,27.25,26.75,28.50,28.00,33.94,1.346,1.346,1.535,1.499,3.254,5.066,10953,9294,10800,9246,10887,9294,10778,9278,10975,9424,10953,9342,11111,9523,219,82,Normal,N/A,N/A,N/A,N/A,N/A
2024040211,PMC_192.168.35.50,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,117,0.00,0.00,0.00,Okay,Optimal,Optimal,Hot Spare,N/A,ONLINE,4,21/22/23/111/514/2001/2011/6482/8101,ok,ok,N/A,ok,N/A,N/A,ok,ok,N/A,N/A,ok,ok,23.94,44.86,29.75,29.00,31.00,30.25,35.94,1.345,1.346,1.549,1.496,3.270,5.051,10887,9278,10909,9310,10865,9199,10756,9215,10909,9278,10756,9246,11134,9407,215,82,Normal,N/A,N/A,N/A,N/A,N/A
2024040211,PMC_192.168.39.50,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,210,0.00,0.00,0.00,Okay,Optimal,Optimal,Hot Spare,N/A,ONLINE,4,21/22/23/111/514/2001/2011/6482/8101,ok,ok,N/A,ok,N/A,N/A,ok,ok,N/A,N/A,ok,ok,20.81,41.85,27.00,26.00,28.00,27.25,33.56,1.344,1.347,1.543,1.499,3.254,5.042,10843,9262,10865,9310,10997,9326,10714,9199,10865,9262,11157,9457,11111,9358,216,82,Normal,N/A,N/A,N/A,N/A,N/A
2024040211,PMC_192.168.37.50,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,104,0.00,0.00,0.00,Okay,Optimal,Optimal,Hot Spare,N/A,ONLINE,4,21/22/23/111/514/2001/2011/6482/8101,ok,ok,N/A,ok,N/A,N/A,ok,ok,N/A,N/A,ok,ok,24.00,45.44,30.25,29.75,30.75,30.50,37.00,1.347,1.346,1.535,1.498,3.271,5.054,10975,9375,10909,9294,11111,9473,10629,9230,10887,9246,10953,9473,10865,9278,221,82,Normal,N/A,N/A,N/A,N/A,N/A
2024040211,PMC_192.168.17.50,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,46,0.00,0.00,0.00,Okay,Optimal,Optimal,Hot Spare,N/A,ONLINE,4,21/22/23/111/514/2001/2011/6482/8101,ok,ok,N/A,ok,N/A,N/A,N/A,ok,N/A,N/A,N/A,N/A,24.00,44.17,29.25,29.50,31.50,30.75,36.56,1.344,1.346,1.543,1.503,3.275,5.054,11088,9358,10800,9310,10887,9230,10629,9199,11088,9407,10953,9358,10865,9278,215,82,Normal,N/A,N/A,N/A,N/A,N/A
2024040211,PMC_192.168.31.50,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,96,0.00,0.00,0.00,Okay,Optimal,Optimal,Hot Spare,N/A,ONLINE,4,21/22/23/111/514/2001/2011/6482/8101,ok,ok,N/A,ok,N/A,N/A,N/A,ok,N/A,N/A,N/A,N/A,23.50,45.27,29.25,29.25,30.75,30.00,36.25,1.345,1.347,1.541,1.502,3.254,5.070,10931,9424,11088,9507,11020,9473,10800,9358,11088,9490,11065,9424,10997,9407,219,82,Normal,N/A,N/A,N/A,N/A,N/A
2024040211,CEDS_10.138.24.62,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,98,0.04,0.05,0.04,Okay,Optimal,Optimal,Hot Spare,Ready,ONLINE,45,21/22/23/111/389/514/636/1521/6482/8101/31571/43189,ok,ok,ok,N/A,ok,N/A,ok,N/A,N/A,N/A,N/A,N/A,24.38,46.78,30.75,30.25,32.25,31.75,37.38,1.344,1.345,1.551,1.498,3.276,5.058,11111,9457,10997,9358,11020,9375,10865,9424,10865,9230,10800,9230,10909,9358,221,82,Normal,Alive in Master,22,4907,38,N/A
2024040211,CEDS_10.131.24.62,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,218,0.05,0.04,0.04,Okay,Optimal,Optimal,Hot Spare,Ready,ONLINE,45,21/22/23/111/389/514/636/1521/6482/8101/18350/54881,ok,ok,ok,N/A,ok,N/A,ok,N/A,N/A,N/A,N/A,N/A,24.62,46.31,31.00,30.50,32.25,31.00,38.31,1.345,1.347,1.543,1.498,3.266,5.065,11157,9523,10975,9278,10997,9424,10887,9215,11020,9424,10887,9246,10778,9310,221,82,Normal,Alive in Master,22,369,38,N/A
